Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_CADENCE {"os_low_processor_usage_mode":true,"os_low_processor_usage_mode_sleep_usec":6900,"pid":14948,"profile_sha256":"0cd5b53055853b592d4376a6b8a89d69c70ea5facc40dfc25ebd6fcd6dbf4d85","run_id":"gt06-s105-handles-02","settings":{"interface/editor/display/update_continuously":false,"interface/editor/timers/low_processor_mode_sleep_usec":6900,"interface/editor/timers/unfocused_low_processor_mode_sleep_usec":6900,"run/output/max_lines":100},"source_closure_sha256":"7635a470cef554c1a60e1d9427f59998737d3bb829c3a1f134e426cdf9275467"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":5857037,"phase":"INITIALIZE","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6358368,"phase":"INITIALIZE","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":6862349,"phase":"INITIALIZE","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7085712,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_READY {"deadline_mono_us":607078382,"index":0,"pid":14948,"run_id":"gt06-s105-handles-02","sha256":"05ab1594d840242cd5eaf5ed8a3a6410a32fe645ea8f9bbf25a5106a43560e13","size_bytes":650}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":7590018,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8093654,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":8597004,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9101738,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":0,"main_thread":true,"monotonic_us":9604739,"phase":"HOST_START","pid":14948,"run_id":"gt06-s105-handles-02"}
